"filename", "language", "Shaderlab", "JSON", "C#", "comment", "blank", "total"
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Skid_Hat.cs", "C#", 0, 0, 23, 1, 9, 33
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Sprint_Hat.cs", "C#", 0, 0, 31, 2, 6, 39
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Throw_Hat.cs", "C#", 0, 0, 27, 2, 9, 38
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Walking_Hat.cs", "C#", 0, 0, 29, 4, 8, 41
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_fastMove_prepThrow_Hat.cs", "C#", 0, 0, 21, 3, 10, 34
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_prepThrow_Hat.cs", "C#", 0, 0, 14, 0, 4, 18
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_slowMove_prepThrow_Hat.cs", "C#", 0, 0, 21, 3, 9, 33
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Fall_Hat.cs", "C#", 0, 0, 39, 1, 8, 48
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Idle_Hat.cs", "C#", 0, 0, 13, 1, 4, 18
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Jump_Hat.cs", "C#", 0, 0, 23, 1, 5, 29
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_moveFall_Hat.cs", "C#", 0, 0, 39, 1, 8, 48
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_moveJump_Hat.cs", "C#", 0, 0, 24, 1, 5, 30
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Control Scripts\scr_Anim_mainBody_template.cs", "C#", 0, 0, 13, 1, 3, 17
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Control Scripts\scr_animController_mainBody.cs", "C#", 0, 0, 71, 2, 25, 98
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Control Scripts\scr_mainBody_Main.cs", "C#", 0, 0, 450, 89, 82, 621
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainHat\Animations\scr_Anim_mainHat_Soar.cs", "C#", 0, 0, 22, 1, 5, 28
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainHat\Control Scripts\scr_Anim_mainHat_template.cs", "C#", 0, 0, 11, 1, 1, 13
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainHat\Control Scripts\scr_animController_mainHat.cs", "C#", 0, 0, 38, 2, 8, 48
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainHat\Control Scripts\scr_mainHat_Main.cs", "C#", 0, 0, 264, 18, 32, 314
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\ImportantObjects\scr_sceneInfo.cs", "C#", 0, 0, 6, 2, 1, 9
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_cameraController.cs", "C#", 0, 0, 163, 19, 22, 204
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_dataSaveController.cs", "C#", 0, 0, 4, 0, 2, 6
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_entityController.cs", "C#", 0, 0, 166, 26, 26, 218
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_gameController.cs", "C#", 0, 0, 369, 30, 57, 456
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_menuController.cs", "C#", 0, 0, 162, 20, 27, 209
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_soundController.cs", "C#", 0, 0, 25, 0, 4, 29
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\GameRunners\scr_transitionController.cs", "C#", 0, 0, 103, 11, 16, 130
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\Misc\scr_ClickButton.cs", "C#", 0, 0, 48, 9, 9, 66
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Non-Entities\Misc\scr_camSpot.cs", "C#", 0, 0, 14, 0, 1, 15
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 0, 0, 63, 29, 37, 129
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 0, 0, 59, 37, 40, 136
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 0, 0, 65, 6, 27, 98
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 0, 0, 73, 1, 19, 93
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 0, 0, 41, 26, 19, 86
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 0, 0, 198, 25, 69, 292
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 0, 0, 31, 5, 16, 52
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 0, 0, 15, 0, 5, 20
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 0, 0, 23, 4, 9, 36
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", 0, 0, 50, 4, 15, 69
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", 0, 0, 33, 5, 14, 52
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", 0, 0, 24, 15, 20, 59
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", 0, 0, 95, 18, 46, 159
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", 0, 0, 19, 5, 4, 28
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", 0, 0, 37, 9, 19, 65
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", 0, 0, 91, 11, 33, 135
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", 0, 0, 93, 7, 6, 106
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", 0, 0, 56, 1, 17, 74
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", 0, 0, 170, 31, 54, 255
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", 0, 0, 409, 97, 147, 653
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", 0, 0, 100, 17, 41, 158
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs", "C#", 0, 0, 250, 191, 107, 548
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs", "C#", 0, 0, 96, 1, 28, 125
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs", "C#", 0, 0, 55, 6, 24, 85
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs", "C#", 0, 0, 40, 15, 28, 83
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs", "C#", 0, 0, 79, 13, 29, 121
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs", "C#", 0, 0, 135, 32, 57, 224
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs", "C#", 0, 0, 46, 13, 21, 80
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs", "C#", 0, 0, 48, 13, 24, 85
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs", "C#", 0, 0, 105, 26, 44, 175
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs", "C#", 0, 0, 99, 23, 39, 161
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs", "C#", 0, 0, 112, 29, 44, 185
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs", "C#", 0, 0, 112, 32, 48, 192
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs", "C#", 0, 0, 87, 15, 43, 145
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "Shaderlab", 109, 0, 0, 2, 33, 144
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "Shaderlab", 112, 0, 0, 3, 31, 146
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "Shaderlab", 109, 0, 0, 2, 33, 144
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "Shaderlab", 243, 0, 0, 4, 71, 318
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "Shaderlab", 241, 0, 0, 4, 66, 311
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "Shaderlab", 188, 0, 0, 10, 50, 248
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "Shaderlab", 183, 0, 0, 8, 50, 241
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "Shaderlab", 82, 0, 0, 4, 21, 107
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "Shaderlab", 183, 0, 0, 8, 50, 241
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "Shaderlab", 103, 0, 0, 8, 28, 139
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "Shaderlab", 122, 0, 0, 4, 33, 159
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "Shaderlab", 243, 0, 0, 4, 71, 318
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "Shaderlab", 97, 0, 0, 0, 20, 117
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro.cginc", "Shaderlab", 63, 0, 0, 2, 20, 85
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "Shaderlab", 122, 0, 0, 2, 34, 158
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "Shaderlab", 62, 0, 0, 10, 14, 86
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "Shaderlab", 76, 0, 0, 7, 19, 102
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 155, 0, 0, 2, 157
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Packages\manifest.json", "JSON", 0, 45, 0, 0, 1, 46
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Packages\packages-lock.json", "JSON", 0, 465, 0, 0, 1, 466
"Total", "-", 2338, 665, 6495, 1331, 2489, 13318
