Date : 2024-07-27 20:07:23
Directory : c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight
Total : 93 files,  7901 codes, 1110 comments, 2246 blanks, all 11257 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| Assets\TextMesh Pro\Examples & Extras                                                                                                                                                                      |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Examples & Extras\Scripts                                                                                                                                                              |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Shaders                                                                                                                                                                                |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                                                                                                                |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                                                                                                                   |          2 |        510 |          0 |          2 |        512 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                   | language  | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_passThroughFloor.cs                                                  | C#        |         17 |          0 |          2 |         19 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_solidWall.cs                                                         | C#        |         14 |          0 |          2 |         16 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_entityController.cs                                               | C#        |        107 |         16 |         16 |        139 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_levelController.cs                                                | C#        |         57 |          5 |         13 |         75 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Button_Press.cs                                                                 | C#        |         18 |          1 |          5 |         24 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Camera.cs                                                                       | C#        |         11 |          2 |          2 |         15 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Menu.cs                                                                         | C#        |         11 |          1 |          4 |         16 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\GLOBAL_VARS.cs                                                                                  | C#        |         74 |          0 |         13 |         87 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\IDScript.cs                                                                                     | C#        |         14 |          2 |          8 |         24 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts\scr_Goober_HitEffect.cs                                | C#        |         33 |          0 |          5 |         38 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts\scr_Goober_Main.cs                                     | C#        |         12 |          2 |          5 |         19 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Run_Hat.cs                | C#        |         22 |          3 |         11 |         36 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Skid_Hat.cs               | C#        |         23 |          1 |          9 |         33 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Sprint_Hat.cs             | C#        |         31 |          2 |          6 |         39 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Throw_Hat.cs              | C#        |         21 |          3 |          9 |         33 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Walking_Hat.cs            | C#        |         29 |          4 |          8 |         41 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_fastMove_prepThrow_Hat.cs | C#        |         21 |          3 |         10 |         34 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_prepThrow_Hat.cs          | C#        |         15 |          1 |          4 |         20 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_slowMove_prepThrow_Hat.cs | C#        |         21 |          3 |          9 |         33 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Fall_Hat.cs               | C#        |         39 |          1 |          8 |         48 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Idle_Hat.cs               | C#        |         13 |          1 |          4 |         18 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Jump_Hat.cs               | C#        |         23 |          1 |          5 |         29 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_moveFall_Hat.cs           | C#        |         39 |          1 |          8 |         48 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_moveJump_Hat.cs           | C#        |         24 |          1 |          5 |         30 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_Anim_mainBody_template.cs          | C#        |         12 |          1 |          3 |         16 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_animController_mainBody.cs         | C#        |         71 |          2 |         26 |         99 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_mainBody_Main.cs                   | C#        |        411 |         82 |         61 |        554 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Animations\scr_Anim_mainHat_Soar.cs                     | C#        |         22 |          1 |          5 |         28 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts\scr_Anim_mainHat_template.cs            | C#        |         12 |          1 |          2 |         15 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts\scr_animController_mainHat.cs           | C#        |         38 |          2 |          8 |         48 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts\scr_mainHat_Main.cs                     | C#        |         59 |          1 |          7 |         67 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\AnimationController\scr_animController.cs                                       | C#        |         32 |          7 |         10 |         49 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\AnimationController\scr_animations.cs                                           | C#        |         97 |         25 |         18 |        140 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Acceleration_Component.cs                                     | C#        |         63 |          3 |         13 |         79 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_ArrowCreator_Component.cs                                     | C#        |        107 |         16 |         19 |        142 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_BaseEntity_Functions.cs                                       | C#        |         12 |          1 |          3 |         16 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_BaseEntity_Main.cs                                            | C#        |         84 |         17 |         20 |        121 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Effect_Script.cs                                              | C#        |         35 |          3 |          6 |         44 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Raycast_Component.cs                                          | C#        |        145 |         50 |         33 |        228 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs                                                                       | C#        |         63 |         29 |         37 |        129 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs                                                                  | C#        |         59 |         37 |         40 |        136 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs                                                                       | C#        |         65 |          6 |         27 |         98 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs                                                                       | C#        |         73 |          1 |         19 |         93 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs                                                                       | C#        |         41 |         26 |         19 |         86 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs                                                                  | C#        |        198 |         25 |         69 |        292 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs                                                                    | C#        |         31 |          5 |         16 |         52 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs                                                                    | C#        |         15 |          0 |          5 |         20 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs                                                                    | C#        |         23 |          4 |          9 |         36 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs                                                                        | C#        |         50 |          4 |         15 |         69 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs                                                                | C#        |         33 |          5 |         14 |         52 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs                                                                      | C#        |         24 |         15 |         20 |         59 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs                                                                   | C#        |         95 |         18 |         46 |        159 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs                                                                | C#        |         19 |          5 |          4 |         28 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs                                                              | C#        |         37 |          9 |         19 |         65 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs                                                              | C#        |         91 |         11 |         33 |        135 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs                                                          | C#        |         93 |          7 |          6 |        106 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs                                                                | C#        |         56 |          1 |         17 |         74 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs                                                              | C#        |        170 |         31 |         54 |        255 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs                                                             | C#        |        409 |         97 |        147 |        653 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs                                                                | C#        |        100 |         17 |         41 |        158 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs                                                                | C#        |        250 |        191 |        107 |        548 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs                                                            | C#        |         96 |          1 |         28 |        125 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs                                                          | C#        |         55 |          6 |         24 |         85 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs                                                                          | C#        |         40 |         15 |         28 |         83 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs                                                              | C#        |         79 |         13 |         29 |        121 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs                                                           | C#        |        135 |         32 |         57 |        224 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs                                                                   | C#        |         46 |         13 |         21 |         80 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs                                                                 | C#        |         48 |         13 |         24 |         85 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs                                                                      | C#        |        105 |         26 |         44 |        175 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs                                                                      | C#        |         99 |         23 |         39 |        161 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs                                                                      | C#        |        112 |         29 |         44 |        185 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs                                                                        | C#        |        112 |         32 |         48 |        192 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs                                                                   | C#        |         87 |         15 |         43 |        145 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                                         | Shaderlab |        109 |          2 |         33 |        144 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                                               | Shaderlab |        112 |          3 |         31 |        146 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                                                      | Shaderlab |        109 |          2 |         33 |        144 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                                                 | Shaderlab |        243 |          4 |         71 |        318 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                                                     | Shaderlab |        241 |          4 |         66 |        311 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                                          | Shaderlab |        188 |         10 |         50 |        248 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                                          | Shaderlab |        183 |          8 |         50 |        241 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                                              | Shaderlab |         82 |          4 |         21 |        107 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                                                  | Shaderlab |        183 |          8 |         50 |        241 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                                          | Shaderlab |        103 |          8 |         28 |        139 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                                                 | Shaderlab |        122 |          4 |         33 |        159 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                                                         | Shaderlab |        243 |          4 |         71 |        318 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                                                      | Shaderlab |         97 |          0 |         20 |        117 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                                            | Shaderlab |         63 |          2 |         20 |         85 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                                                     | Shaderlab |        122 |          2 |         34 |        158 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                                                 | Shaderlab |         62 |         10 |         14 |         86 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                                                    | Shaderlab |         76 |          7 |         19 |        102 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                                          | JSON      |        155 |          0 |          2 |        157 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Packages\manifest.json                                                                                                             | JSON      |         45 |          0 |          1 |         46 |
| c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Packages\packages-lock.json                                                                                                        | JSON      |        465 |          0 |          1 |        466 |
| Total                                                                                                                                                                                                      |           |      7,901 |      1,110 |      2,246 |     11,257 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
